Time,Memory.HeapMemoryUsage.used,Memory.HeapMemoryUsage.init,Memory.HeapMemoryUsage.max,Memory.HeapMemoryUsage.committed
1305286596589,765220712,1048576000,943718400,943718400
1305286597568,765220760,1048576000,943718400,943718400
1305286598569,765220808,1048576000,943718400,943718400
1305286599570,765220856,1048576000,943718400,943718400
1305286600569,765220904,1048576000,943718400,943718400
1305286601569,765220952,1048576000,943718400,943718400
1305286602568,765221000,1048576000,943718400,943718400
1305286603569,767318224,1048576000,943718400,943718400
1305286604569,767318272,1048576000,943718400,943718400
1305286605568,767318320,1048576000,943718400,943718400
1305286606569,767318368,1048576000,943718400,943718400
1305286607568,767318416,1048576000,943718400,943718400
1305286608568,767318464,1048576000,943718400,943718400
1305286609568,767318512,1048576000,943718400,943718400
1305286610569,767318560,1048576000,943718400,943718400
